g_id,src,dst,label
0,83,107,0
0,83,140,0
0,107,3,0
0,140,274,0
0,140,261,0
0,140,199,0
0,140,215,0
0,140,165,0
0,140,52,0
0,140,141,0
0,140,108,0
0,140,227,0
0,140,214,0
0,3,43,0
0,43,229,0
0,229,110,0
0,110,162,0
0,162,256,0
0,162,12,0
0,162,48,0
0,162,57,0
0,162,102,0
0,162,4,0
0,162,27,0
0,162,131,0
0,162,262,0
0,162,22,0
0,162,5,0
0,162,46,0
0,162,47,0
0,256,134,0
0,12,134,0
0,48,134,0
0,57,134,0
0,102,134,0
0,4,134,0
0,134,132,0
0,274,274,0
0,274,69,0
0,274,28,0
0,274,117,0
0,261,24,0
0,261,105,0
0,199,199,0
0,199,194,0
0,215,58,0
0,165,233,0
0,165,240,0
0,165,150,0
0,52,269,0
0,141,118,0
0,141,151,0
0,141,122,0
0,141,25,0
0,108,108,0
0,108,172,0
0,227,277,0
0,214,211,0
0,69,132,0
0,69,163,0
0,69,103,0
0,28,249,0
0,117,188,0
0,163,193,0
0,103,70,0
0,193,65,0
0,193,13,0
0,70,217,0
0,70,100,0
0,249,251,0
0,251,202,0
0,251,53,0
0,251,242,0
0,188,275,0
0,275,71,0
0,275,273,0
0,275,23,0
0,275,90,0
0,71,26,0
0,71,41,0
0,273,39,0
0,273,222,0
0,23,7,0
0,90,220,0
0,24,1,0
0,105,77,0
0,1,263,0
0,1,243,0
0,1,149,0
0,1,91,0
0,1,51,0
0,1,15,0
0,263,210,0
0,243,127,0
0,243,160,0
0,149,139,0
0,91,258,0
0,91,223,0
0,51,54,0
0,15,68,0
0,210,190,0
0,210,239,0
0,210,166,0
0,210,84,0
0,210,276,0
0,210,187,0
0,210,61,0
0,210,206,0
0,210,79,0
0,127,113,0
0,127,170,0
0,160,230,0
0,139,86,0
0,139,142,0
0,139,72,0
0,139,209,0
0,139,232,0
0,139,128,0
0,139,67,0
0,258,111,0
0,258,9,0
0,258,218,0
0,258,182,0
0,258,257,0
0,223,278,0
0,278,205,0
0,54,175,0
0,68,35,0
0,77,159,0
0,159,34,0
0,34,154,0
0,194,197,0
0,197,133,0
0,133,55,0
0,58,176,0
0,176,17,0
0,17,144,0
0,144,11,0
0,233,179,0
0,240,207,0
0,150,8,0
0,179,260,0
0,179,183,0
0,179,264,0
0,260,270,0
0,183,106,0
0,264,156,0
0,264,42,0
0,270,56,0
0,270,20,0
0,270,198,0
0,270,101,0
0,270,158,0
0,270,155,0
0,270,228,0
0,270,114,0
0,270,49,0
0,270,279,0
0,106,246,0
0,156,73,0
0,42,212,0
0,42,167,0
0,42,201,0
0,42,135,0
0,207,109,0
0,207,74,0
0,207,44,0
0,207,112,0
0,207,234,0
0,109,33,0
0,74,33,0
0,74,18,0
0,74,235,0
0,74,224,0
0,74,104,0
0,74,138,0
0,74,250,0
0,74,64,0
0,74,203,0
0,74,40,0
0,44,33,0
0,44,137,0
0,44,184,0
0,112,33,0
0,112,203,0
0,112,62,0
0,112,241,0
0,112,282,0
0,234,174,0
0,234,248,0
0,33,29,0
0,33,136,0
0,33,143,0
0,33,145,0
0,33,252,0
0,33,78,0
0,33,124,0
0,33,146,0
0,33,244,0
0,33,75,0
0,33,265,0
0,33,186,0
0,33,268,0
0,33,280,0
0,33,216,0
0,33,87,0
0,33,192,0
0,33,30,0
0,87,8,0
0,87,6,0
0,87,85,0
0,87,94,0
0,18,213,0
0,18,80,0
0,235,76,0
0,224,66,0
0,224,189,0
0,104,181,0
0,138,231,0
0,138,195,0
0,250,180,0
0,64,19,0
0,64,236,0
0,203,120,0
0,203,225,0
0,203,125,0
0,203,161,0
0,203,266,0
0,203,168,0
0,40,31,0
0,40,14,0
0,137,2,0
0,184,185,0
0,62,50,0
0,241,169,0
0,282,92,0
0,174,200,0
0,248,96,0
0,248,253,0
0,6,164,0
0,6,191,0
0,85,93,0
0,94,0,0
0,94,271,0
0,94,178,0
0,269,16,0
0,16,152,0
0,152,10,0
0,10,88,0
0,118,226,0
0,151,208,0
0,122,63,0
0,25,147,0
0,25,121,0
0,25,60,0
0,25,97,0
0,226,98,0
0,98,247,0
0,247,116,0
0,208,81,0
0,81,95,0
0,95,130,0
0,95,32,0
0,63,123,0
0,63,119,0
0,123,237,0
0,119,259,0
0,237,89,0
0,259,281,0
0,259,59,0
0,147,177,0
0,121,45,0
0,60,204,0
0,97,153,0
0,177,245,0
0,245,126,0
0,45,196,0
0,196,272,0
0,204,148,0
0,204,21,0
0,148,99,0
0,21,221,0
0,153,267,0
0,267,254,0
0,172,219,0
0,219,173,0
0,173,129,0
0,173,36,0
0,277,37,0
0,37,82,0
0,82,115,0
0,115,238,0
0,211,38,0
0,38,171,0
0,171,255,0
0,255,157,0
1,83,107,0
1,83,140,0
1,107,3,0
1,140,274,0
1,140,261,0
1,140,199,0
1,140,215,0
1,140,165,0
1,140,52,0
1,140,141,0
1,140,108,0
1,140,227,0
1,140,214,0
1,3,43,0
1,43,229,0
1,229,110,0
1,110,162,0
1,162,256,0
1,162,12,0
1,162,48,0
1,162,57,0
1,162,102,0
1,162,4,0
1,162,27,0
1,162,131,0
